Time[month],reactor_In[kg],Reactor_Out[kg],
0,0,0,
1,81.9,0,
2,81.9,0,
3,81.9,0,
4,81.9,0,
5,81.9,0,
6,81.9,0,
7,81.9,0,
8,81.9,0,
9,81.9,0,
10,81.9,0,
11,81.9,0,
12,81.9,0,
13,109.2,27.3,
14,109.2,27.3,
15,109.2,27.3,
16,109.2,27.3,
17,109.2,27.3,
18,109.2,27.3,
19,109.2,27.3,
20,109.2,27.3,
21,109.2,27.3,
22,109.2,27.3,
23,109.2,27.3,
24,109.2,27.3,
25,136.5,54.6,
26,136.5,54.6,
27,136.5,54.6,
28,136.5,54.6,
29,136.5,54.6,
30,136.5,54.6,
31,136.5,54.6,
32,136.5,54.6,
33,136.5,54.6,
34,136.5,54.6,
35,136.5,54.6,
36,136.5,54.6,
37,163.8,81.9,
38,163.8,81.9,
39,163.8,81.9,
40,163.8,81.9,
41,163.8,81.9,
42,163.8,81.9,
43,163.8,81.9,
44,163.8,81.9,
45,163.8,81.9,
46,163.8,81.9,
47,163.8,81.9,
48,163.8,81.9,
49,191.1,109.2,
50,191.1,109.2,
51,191.1,109.2,
52,191.1,109.2,
53,191.1,109.2,
54,191.1,109.2,
55,191.1,109.2,
56,191.1,109.2,
57,191.1,109.2,
58,191.1,109.2,
59,191.1,109.2,
60,191.1,109.2,
61,218.4,136.5,
62,218.4,136.5,
63,218.4,136.5,
64,218.4,136.5,
65,218.4,136.5,
66,218.4,136.5,
67,218.4,136.5,
68,218.4,136.5,
69,218.4,136.5,
70,218.4,136.5,
71,218.4,136.5,
72,218.4,136.5,
73,245.7,163.8,
74,245.7,163.8,
75,245.7,163.8,
76,245.7,163.8,
77,245.7,163.8,
78,245.7,163.8,
79,245.7,163.8,
80,245.7,163.8,
81,245.7,163.8,
82,245.7,163.8,
83,245.7,163.8,
84,245.7,163.8,
85,273,191.1,
86,273,191.1,
87,273,191.1,
88,273,191.1,
89,273,191.1,
90,273,191.1,
91,273,191.1,
92,273,191.1,
93,273,191.1,
94,273,191.1,
95,273,191.1,
96,273,191.1,
97,300.3,218.4,
98,300.3,218.4,
99,300.3,218.4,
100,300.3,218.4,
101,300.3,218.4,
102,300.3,218.4,
103,300.3,218.4,
104,300.3,218.4,
105,300.3,218.4,
106,300.3,218.4,
107,300.3,218.4,
108,300.3,218.4,
109,327.6,245.7,
110,327.6,245.7,
111,327.6,245.7,
112,327.6,245.7,
113,327.6,245.7,
114,327.6,245.7,
115,327.6,245.7,
116,327.6,245.7,
117,327.6,245.7,
118,327.6,245.7,
119,327.6,245.7,
120,327.6,245.7,
121,354.9,273,
122,354.9,273,
123,354.9,273,
124,354.9,273,
125,354.9,273,
126,354.9,273,
127,354.9,273,
128,354.9,273,
129,354.9,273,
130,354.9,273,
131,354.9,273,
132,354.9,273,
133,382.2,300.3,
134,382.2,300.3,
135,382.2,300.3,
136,382.2,300.3,
137,382.2,300.3,
138,382.2,300.3,
139,382.2,300.3,
140,382.2,300.3,
141,382.2,300.3,
142,382.2,300.3,
143,382.2,300.3,
144,382.2,300.3,
145,409.5,327.6,
146,409.5,327.6,
147,409.5,327.6,
148,409.5,327.6,
149,409.5,327.6,
150,409.5,327.6,
151,409.5,327.6,
152,409.5,327.6,
153,409.5,327.6,
154,409.5,327.6,
155,409.5,327.6,
156,409.5,327.6,
157,436.8,354.9,
158,436.8,354.9,
159,436.8,354.9,
160,436.8,354.9,
161,436.8,354.9,
162,436.8,354.9,
163,436.8,354.9,
164,436.8,354.9,
165,436.8,354.9,
166,436.8,354.9,
167,436.8,354.9,
168,436.8,354.9,
169,464.1,382.2,
170,464.1,382.2,
171,464.1,382.2,
172,464.1,382.2,
173,464.1,382.2,
174,464.1,382.2,
175,464.1,382.2,
176,464.1,382.2,
177,464.1,382.2,
178,464.1,382.2,
179,464.1,382.2,
180,464.1,382.2,
181,491.4,409.5,
182,491.4,409.5,
183,491.4,409.5,
184,491.4,409.5,
185,491.4,409.5,
186,491.4,409.5,
